========================================
稀疏矩阵切片算法系统性仿真测试
========================================
四种算法：Probe, Intersection, Skip, Hybrid
四个参数：mask_density, nnz_density, block_coverage, threshold
========================================

================================================================================
阶段一：mask_density × nnz_density 交叉测试（均匀分布）
================================================================================
     Mask%      NNZ%    Blocks      Probe  Intersect       Skip     Hybrid       Best
         0.0          64      1154       0.8      0.957      1.581     15.591      Probe
         0.0         128         1       0.0      0.883      0.951     15.234      Probe
         0.0         256         0       0.0      0.878      0.945     14.453      Probe
         0.0         512         0       0.0      0.883      0.939     14.464      Probe
         0.0        1024         0       0.0      0.897      0.945     14.541      Probe
        10.0          16    158369      46.6      0.934     17.938     27.506      Probe
        10.0          32     27928      19.5      0.970      7.873     17.224      Probe
        10.0          64      3077      10.3      0.989      2.841     14.152      Probe
        10.0         128      1268       9.6      0.940      1.713     13.818      Probe
        10.0         256       650       9.6      0.944      1.355     13.631      Probe
        10.0         512       327       9.5      1.093      1.175     13.637      Probe
        10.0        1024       168       9.5      0.945      1.172     13.566      Probe
